Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
3 Idiots,2009,"Comedy, Drama            ","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"366,038",12,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","['two', 'friends', 'searching', 'long', 'lost', 'companion.', 'revisit', 'college', 'days', 'recall', 'memories', 'friend', 'inspired', 'think', 'differently,', 'even', 'rest', 'world', 'called', '""idiots"".']"
Cruel Intentions,1999,"Drama, Romance            ",Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,6.8,"184,749",22,Roger Kumble,"Sarah Michelle Gellar, Ryan Phillippe, Reese Witherspoon, Selma Blair","['two', 'vicious', 'step-siblings', 'elite', 'manhattan', 'prep', 'school', 'make', 'wager:', 'deflower', 'new', ""headmaster's"", 'daughter', 'start', 'term.']"
Taare Zameen Par,2007,"Drama, Family            ","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",8.4,"179,838",14,"s:Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma","['eight-year-old', 'boy', 'thought', 'lazy', 'trouble-maker,', 'new', 'art', 'teacher', 'patience', 'compassion', 'discover', 'real', 'problem', 'behind', 'struggles', 'school.']"
PK,2014,"Comedy, Drama, Musical            ",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,8.1,"171,776",7,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani","['alien', 'earth', 'loses', 'device', 'use', 'communicate', 'spaceship.', 'innocent', 'nature', 'child-like', 'questions', 'force', 'country', 'evaluate', 'impact', 'religion', 'people.']"
Radhe,2021,"Action, Crime, Thriller            ","After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.",1.8,"171,349",0,Prabhu Deva,"Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff","['taking', 'dreaded', 'gangster', 'gani', 'bhai,', 'acp', 'rajveer', 'shikawat', 'aka', 'radhe', 'goes', 'manhunt', 'find', 'wealthiest', 'man', 'town', 'secretly', 'running', 'crime', 'syndicate.']"
Dangal,2016,"Action, Biography, Drama            ",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.4,"170,210",5,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra","['former', 'wrestler', 'mahavir', 'singh', 'phogat', 'two', 'wrestler', 'daughters', 'struggle', 'towards', 'glory', 'commonwealth', 'games', 'face', 'societal', 'oppression.']"
Dil Bechara,2020,"Comedy, Drama, Romance            ","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",8.1,"123,587",1,Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee","['emotional', 'journey', 'two', 'hopelessly', 'love', 'youngsters,', 'young', 'girl,', 'kizie,', 'suffering', 'cancer,', 'boy,', 'manny,', 'meets', 'support', 'group.']"
Rang De Basanti,2006,"Comedy, Crime, Drama            ","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",8.1,"116,246",15,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi","['story', 'six', 'young', 'indians', 'assist', 'english', 'woman', 'film', 'documentary', 'freedom', 'fighters', 'past,', 'events', 'lead', 'relive', 'long-forgotten', 'saga', 'freedom.']"
Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport            ",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,"109,082",20,Ashutosh Gowariker,"Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley","['people', 'small', 'village', 'victorian', 'india', 'stake', 'future', 'game', 'cricket', 'ruthless', 'british', 'rulers.']"
My Name Is Khan,2010,Drama            ,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,8.0,"102,451",11,Karan Johar,"Shah Rukh Khan, Kajol, Sheetal Menon, Katie A. Keane","['indian', 'muslim', 'man', ""asperger's"", 'syndrome', 'takes', 'challenge', 'speak', 'president', 'united', 'states', 'seriously', 'embarks', 'cross-country', 'journey.']"
Sadak 2,2020,"Action, Drama            ","The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",1.1,"92,572",1,Mahesh Bhatt,"Priyanka Bose, Alia Bhatt, Sanjay Dutt, Aditya Roy Kapoor","['film', 'picks', 'sadak', 'left', 'off,', 'revolving', 'around', 'journey', 'young', 'girl', 'becomes', 'important', 'character', 'life', 'protagonist,', 'reason', 'stay', 'alive.']"
Shershaah,2021,"Action, Biography, Drama            ","This is a story of a PVC awardee brave Indian soldier - Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999. His indomitable spirit and his unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",8.9,"90,482",0,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri","['story', 'pvc', 'awardee', 'brave', 'indian', 'soldier', '-', 'capt.', 'vikram', 'batra,', 'shot', 'fame', 'became', 'household', 'name', 'kargil', 'war', '1999.', 'indomitable', 'spirit', 'unflinching', 'courage', 'chasing', 'pakistani', 'soldiers', 'indian', 'territory', 'contributed', 'immensely', 'india', 'finally', 'winning', 'kargil', 'war', '1999.']"
Gangs of Wasseypur,2012,"Action, Crime, Drama            ","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,"89,184",9,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia","['clash', 'sultan', 'shahid', 'khan', 'leads', 'expulsion', 'khan', 'wasseypur,', 'ignites', 'deadly', 'blood', 'feud', 'spanning', 'three', 'generations.']"
"Swades: We, the People",2004,Drama            ,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.2,"86,790",17,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth","['successful', 'indian', 'scientist', 'returns', 'indian', 'village', 'take', 'nanny', 'america', 'process', 'rediscovers', 'roots.']"
Andhadhun,2018,"Crime, Drama, Music            ","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",8.2,"81,805",3,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan","['series', 'mysterious', 'events', 'change', 'life', 'blind', 'pianist,', 'must', 'report', 'crime', 'technically', 'know', 'nothing', 'of.']"
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy            ",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,8.0,"80,584",6,Kabir Khan,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor","['indian', 'man', 'magnanimous', 'heart', 'takes', 'young', 'mute', 'pakistani', 'girl', 'back', 'homeland', 'reunite', 'family.']"
Barfi!,2012,"Comedy, Drama, Romance            ",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,8.1,"78,573",9,"Anurag Basu', ""","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz, Saurabh Shukla""","['three', 'young', 'people', 'learn', 'love', 'neither', 'defined', 'contained', ""society's"", 'definition', 'normal', 'abnormal.']"
Munna Bhai M.B.B.S.,2003,"Comedy, Drama            ",A gangster sets out to fulfill his father's dream of becoming a doctor.,8.1,"77,614",18,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Sunil Dutt","['gangster', 'sets', 'fulfill', ""father's"", 'dream', 'becoming', 'doctor.']"
Chak De! India,2007,"Drama, Family, Sport            ","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",8.2,"77,253",14,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla","['kabir', 'khan,', 'coach', 'indian', ""women's"", 'national', 'hockey', 'team,', 'dreams', 'making', 'all-girls', 'team', 'emerge', 'victorious', 'odds.']"
Drishyam,2015,"Crime, Drama, Mystery            ","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",8.2,"76,424",6,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor","['desperate', 'measures', 'taken', 'man', 'tries', 'save', 'family', 'dark', 'side', 'law,', 'commit', 'unexpected', 'crime.']"
A Wednesday,2008,"Action, Crime, Drama            ",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,8.1,"76,194",13,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Virendra Saxena, Mahesh Kanual","['retiring', 'police', 'officer', 'reminisces', 'astounding', 'day', 'career.', 'case', 'never', 'filed', 'continues', 'haunt', 'memories', '-', 'case', 'man', 'wednesday.']"
Zindagi Na Milegi Dobara,2011,"Comedy, Drama            ",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,8.2,"72,435",10,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif","['three', 'friends', 'decide', 'turn', 'fantasy', 'vacation', 'reality', 'one', 'friends', 'gets', 'engaged.']"
Coolie No. 1,2020,"Action, Comedy, Romance            ","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",3.4,"71,825",1,avid Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffrey","['insulted', 'rich', 'businessman', 'named', 'rosario,', 'pandit', 'jai', 'kishen', 'teaches', 'lesson', 'getting', 'daughter', 'married', 'raju', '-', 'coolie', 'posing', 'millionaire.']"
Dil Chahta Hai,2001,"Comedy, Drama, Romance            ","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",8.1,"69,478",20,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta","['three', 'inseparable', 'childhood', 'friends', 'college.', 'nothing', 'comes', '-', 'fall', 'love,', 'wildly', 'different', 'approaches', 'relationships', 'creates', 'tension.']"
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance            ","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",8.1,"66,233",26,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal","['raj', 'meets', 'simran', 'europe,', 'love', 'first', 'sight', 'simran', 'moves', 'india', 'arranged', 'marriage,', 'love', 'makes', 'presence', 'felt.']"
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical            ","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",7.9,"66,073",18,Nikkhil Advani,"Preity Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan","['naina,', 'introverted,', 'perpetually', 'depressed', ""girl's"", 'life', 'changes', 'meets', 'aman.', 'aman', 'secret', 'changes', 'lives', 'forever.', 'embroiled', 'rohit,', ""naina's"", 'best', 'friend', 'conceals', 'love', 'her.']"
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport            ",The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,8.2,"64,528",8,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Pawan Malhotra, Art Malik","['truth', 'behind', 'ascension', 'milkha', 'singh', 'scarred', 'india-pakistan', 'partition.']"
Queen,2013,"Adventure, Comedy, Drama            ",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,8.2,"62,841",8,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho","['delhi', 'girl', 'traditional', 'family', 'sets', 'solo', 'honeymoon', 'marriage', 'gets', 'cancelled.']"
Hera Pheri,2000,"Action, Comedy, Crime            ","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",8.2,"61,731",21,Priyadarshan,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Tabu","['three', 'unemployed', 'men', 'look', 'answers', 'money', 'problems', '-', 'opportunity', 'arrives,', 'know', 'it?']"
Kahaani,2012,"Mystery, Thriller            ","A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",8.1,"60,174",9,Sujoy Ghosh,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui","['pregnant', ""woman's"", 'search', 'missing', 'husband', 'takes', 'london', 'kolkata,', 'everyone', 'questions', 'denies', 'ever', 'met', 'him.']"
Gunday,2014,"Action, Drama, Musical            ","The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",2.4,"58,509",7,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan","['lives', ""calcutta's"", 'powerful', 'gunday,', 'bikram', 'bala,', 'changes', 'nandita', 'enters', 'it.', 'counter-force', 'takes', 'charge', 'thriller', 'unfolds.']"
Ghajini,2008,"Action, Drama, Mystery            ",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,7.3,"58,455",13,A.R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan, Pradeep Singh Rawat","['short-term', 'memory', 'loss', 'patient', 'sets', 'journey', 'avenge', 'death', 'beloved', 'girl.']"
Hotel Mumbai,2018,"Action, Drama, History            ",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,7.6,"57,690",3,Anthony Maras,"Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher","['true', 'story', 'taj', 'hotel', 'terrorist', 'attack', 'mumbai.', 'hotel', 'staff', 'risk', 'lives', 'keep', 'everyone', 'safe', 'people', 'make', 'unthinkable', 'sacrifices', 'protect', 'families.']"
Laxmii,2020,"Action, Comedy, Horror            ","Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge.",2.4,"55,361",1,"s:Lawrence Raghavendra, Balakrishnan Thevar","Akshay Kumar, Kiara Advani, Sharad Kelkar, Ashwini Kalsekar","['aasif', 'visits', ""wife's"", ""parents'"", 'house', 'happens', 'go', 'ground', 'supposedly', 'haunted.', 'however,', 'soon', 'possessed', 'spirit', 'transgender', 'revenge.']"
Baby,2015,"Action, Thriller            ","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",8.0,"55,133",6,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu","['elite', 'counter-intelligence', 'unit', 'learns', 'plot,', 'masterminded', 'maniacal', 'madman.', 'clock', 'ticking,', 'track', ""terrorists'"", 'international', 'tentacles', 'prevent', 'striking', 'heart', 'india.']"
Airlift,2016,"Drama, History            ","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",8.0,"54,899",5,Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi","['iraq', 'invades', 'kuwait', 'august', '1990,', 'callous', 'indian', 'businessman', 'becomes', 'spokesperson', '170,000', 'stranded', 'countrymen.']"
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy            ",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,8.1,"54,862",9,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar","['shopkeeper', 'takes', 'god', 'court', 'shop', 'destroyed', 'earthquake.']"
Special Chabbis,2013,"Crime, Drama, Thriller            ",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,8.0,"53,541",8,Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill","['gang', 'con-men', 'rob', 'prominent', 'rich', 'businessmen', 'politicians', 'posing', 'c.b.i', 'income', 'tax', 'officers.']"
Sholay,1975,"Action, Adventure, Comedy            ","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",8.2,"53,485",46,Ramesh Sippy,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan","['family', 'murdered', 'notorious', 'ruthless', 'bandit,', 'former', 'police', 'officer', 'enlists', 'services', 'two', 'outlaws', 'capture', 'bandit.']"
The White Tiger,2021,"Crime, Drama            ",An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,7.1,"53,427",0,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha","['ambitious', 'indian', 'driver', 'uses', 'wit', 'cunning', 'escape', 'poverty', 'rise', 'top.', 'epic', 'journey', 'based', 'new', 'york', 'times', 'bestseller.']"
The Lunchbox,2013,"Drama, Romance            ",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,7.8,"53,125",8,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey","['mistaken', 'delivery', ""mumbai's"", 'famously', 'efficient', 'lunchbox', 'delivery', 'system', 'connects', 'young', 'housewife', 'older', 'man', 'dusk', 'life', 'build', 'fantasy', 'world', 'together', 'notes', 'lunchbox.']"
Jab Tak Hai Jaan,2012,"Drama, Romance            ",A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,6.7,"52,913",9,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Anupam Kher","['woman', 'made', 'realize', 'prayers', 'sacrifice', 'save', ""boyfriend's"", 'life', 'may', 'led', 'fate', 'worse', 'death.']"
Haider,2014,"Action, Crime, Drama            ","A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",8.1,"52,152",7,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon","['young', 'man', 'returns', 'kashmir', ""father's"", 'disappearance', 'confront', 'uncle,', 'suspects', 'playing', 'role', ""father's"", 'fate.']"
Andaz Apna Apna,1994,"Action, Comedy, Romance            ",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,8.1,"51,612",27,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor","['two', 'slackers', 'competing', 'affections', 'heiress', 'inadvertently', 'become', 'protectors', 'evil', 'criminal.']"
Chennai Express,2013,"Action, Adventure, Comedy            ",A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,6.1,"51,297",8,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer","['man', 'heading', 'towards', 'rameshwaram', 'via', 'chennai', 'express', 'immerse', 'late', ""grandfather's"", 'ashes', 'unwillingly', 'gets', 'caught', 'amidst', 'goons', 'helping', ""boss's"", 'daughter', 'board', 'train.']"
Don 2,2011,"Action, Crime, Thriller            ","Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.",7.1,"51,127",10,Farhan Akhtar,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas","['turns', 'escapes', 'vardhaan', 'prison,', 'following', 'recruits', 'team', 'steal', 'currency', 'printing', 'plates', 'bank', 'berlin.']"
Veer-Zaara,2004,"Drama, Family, Musical            ","Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",7.8,"50,960",17,Yash Chopra,"Shah Rukh Khan, Preity Zinta, Rani Mukerji, Kirron Kher","['veer-zaara', 'saga', 'love,', 'separation,', 'courage', 'sacrifice.', 'love', 'story', 'inspiration', 'remain', 'legend', 'forever.']"
Sanju,2018,"Biography, Comedy, Drama            ","Sanju is a biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence and personal life.",7.7,"50,611",3,Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal","['sanju', 'biopic', 'controversial', 'life', 'actor', 'sanjay', 'dutt:', 'film', 'career,', 'jail', 'sentence', 'personal', 'life.']"
Uri: The Surgical Strike,2019,"Action, Drama, War            ","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",8.3,"50,418",2,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam","['indian', 'army', 'special', 'forces', 'execute', 'covert', 'operation,', 'avenging', 'killing', 'fellow', 'army', 'men', 'base', 'terrorist', 'group.']"
Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical            ","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",7.6,"50,223",23,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed","['college', 'years,', 'anjali', 'love', 'best-friend', 'rahul,', 'eyes', 'tina.', 'years', 'later,', 'rahul', 'now-deceased', ""tina's"", 'eight-year-old', 'daughter', 'attempts', 'reunite', 'father', 'anjali.']"
Jab We Met,2007,"Comedy, Drama, Romance            ",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,7.9,"50,015",14,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh","['depressed', 'wealthy', 'businessman', 'finds', 'life', 'changing', 'meets', 'spunky', 'care-free', 'young', 'woman.']"
Kabhi Khushi Kabhie Gham...,2001,"Drama, Musical, Romance            ","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again.",7.4,"47,024",20,Karan Johar,"Shah Rukh Khan, Kajol, Amitabh Bachchan, Hrithik Roshan","['marrying', 'poor', 'woman,', 'rich', 'rahul', 'disowned', 'father', 'moves', 'london', 'build', 'new', 'life.', 'years', 'later,', 'grown', 'little', 'brother', 'rohan', 'embarks', 'mission', 'bring', 'rahul', 'back', 'home', 'reunite', 'family', 'again.']"
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport            ",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,7.9,"46,757",5,Neeraj Pandey,"Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani","['untold', 'story', 'mahendra', 'singh', ""dhoni's"", 'journey', 'ticket', 'collector', 'trophy', 'collector', '-', 'world-cup-winning', 'captain', 'indian', 'cricket', 'team.']"
Rab Ne Bana Di Jodi,2008,"Comedy, Drama, Music            ","A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.",7.2,"45,796",13,Aditya Chopra,"Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina","['breathtaking,', 'goose', 'flesh', 'igniting,', 'awe', 'inspiring', 'love', 'journey', 'ordinary', 'man', 'suri', ""'total"", ""opposite'"", 'love', 'taani.']"
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance            ",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,8.0,"45,122",15,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani","['munna', 'bhai', 'embarks', 'journey', 'mahatma', 'gandhi', 'order', 'fight', 'corrupt', 'property', 'dealer.']"
Dhoom:3,2013,"Action, Crime, Thriller            ","When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",5.4,"44,466",8,Vijay Krishna Acharya,"Aamir Khan, Katrina Kaif, Abhishek Bachchan, Uday Chopra","['sahir,', 'circus', 'entertainer', 'trained', 'magic', 'acrobatics,', 'turns', 'thief', 'take', 'corrupt', 'bank', 'chicago', 'ruined', 'father,', 'indian', 'officers', 'jai', 'ali', 'called', 'catch', 'him.']"
Race 3,2018,"Action, Crime, Thriller            ",Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,1.9,"44,285",3,"""    Director:Remo D'Souza""","Anil Kapoor, Salman Khan, Bobby Deol, Jacqueline Fernandez","['relationships', 'loyalties', 'criminal', 'family', 'planning', 'next', 'big', 'heist', 'tested', 'shocking', 'revelations', 'strike', 'them.']"
Fan,2016,"Action, Drama, Thriller            ","Gaurav develops an obsession with a movie star who looks just like him. He goes to Bombay to meet his idol, but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero.",7.0,"43,982",5,Maneesh Sharma,"Shah Rukh Khan, Carolina Main, Sayani Gupta, Shriya Pilgaonkar","['gaurav', 'develops', 'obsession', 'movie', 'star', 'looks', 'like', 'him.', 'goes', 'bombay', 'meet', 'idol,', 'refuses', 'grant', 'five', 'minutes', 'time.', 'gaurav', 'enraged', 'plots', 'destroy', 'hero.']"
Udaan,2010,Drama            ,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",8.2,"43,817",11,Vikramaditya Motwane,"Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor","['expelled', 'school,', '16-year', 'old', 'boy', 'returns', 'home', 'abusive', 'oppressive', 'father.']"
Sultan,2016,"Action, Drama, Sport            ","Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",7.0,"43,127",5,Ali Abbas Zafar,"Salman Khan, Kubbra Sait, Anushka Sharma, Randeep Hooda","['sultan', 'classic', 'underdog', 'tale', ""wrestler's"", 'journey,', 'looking', 'comeback', 'defeating', 'odds.']"
Chhichhore,2019,"Comedy, Drama, Romance            ","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",8.3,"43,068",2,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik","['tragic', 'incident', 'forces', 'anirudh,', 'middle-aged', 'man,', 'take', 'trip', 'memory', 'lane', 'reminisce', 'college', 'days', 'along', 'friends,', 'labelled', 'losers.']"
Raees,2017,"Action, Crime, Drama            ",A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,6.8,"42,240",4,Rahul Dholakia,"Raj Arjun, Shubham Chintamani, Shubham Tukaram, Yug","['bootlegger', 'sets', 'improve', 'community', 'promising', 'leader', 'falls', 'political', 'trap.']"
Pink,2016,"Crime, Drama, Thriller            ","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",8.1,"42,146",5,Aniruddha Roy Chowdhury,"Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang","['three', 'young', 'women', 'implicated', 'crime,', 'retired', 'lawyer', 'steps', 'forward', 'help', 'clear', 'names.']"
