Title,Date_of_Release,Genre,Plot_summary,ImDBRating,Votes,Age_of_content,Crew_dir,Cast_stars,Plot_Keywords
Mera Damad,1995,"Comedy, Drama            ","Sitanath Ardhnarayan Choudhry and Ajit Khanna are old friends. Sitanath has a daughter named Sunita, and Ajit has a son named Jai. Both fathers would like their respective children to meet ...                See full summary »",4.4,800,26,Partho Ghosh,"Utpal Dutt, Ashok Kumar, Farooq Shaikh, Tariq","['sitanath', 'ardhnarayan', 'choudhry', 'ajit', 'khanna', 'old', 'friends.', 'sitanath', 'daughter', 'named', 'sunita,', 'ajit', 'son', 'named', 'jai.', 'fathers', 'would', 'like', 'respective', 'children', 'meet', '...', 'see', 'full', 'summary', '»']"
Kamaal Dhamaal Malamaal,2012,"Comedy, Drama            ","Jhonny is often fooled by villagers as he is fit for nothing. He is in love with Maria but is often targeted by her brothers. Then enters Sam, who will be like a Samaritain to Jhonny's family.",4.1,799,9,Priyadarshan,"Nana Patekar, Shreyas Talpade, Om Puri, Paresh Rawal","['jhonny', 'often', 'fooled', 'villagers', 'fit', 'nothing.', 'love', 'maria', 'often', 'targeted', 'brothers.', 'enters', 'sam,', 'like', 'samaritain', ""jhonny's"", 'family.']"
Haré Rama Haré Krishna,1971,"Drama, Musical            ","In the background of the rise of the International Hare Krishna movement in the 1970s, is a Montreal-based family of the Jaiswals, consisting of mom, dad, son, Prashant, and daughter, ...                See full summary »",7.2,797,50,v Anand,"Zeenat Aman, Dev Anand, Mumtaz, Baby Guddi","['background', 'rise', 'international', 'hare', 'krishna', 'movement', '1970s,', 'montreal-based', 'family', 'jaiswals,', 'consisting', 'mom,', 'dad,', 'son,', 'prashant,', 'daughter,', '...', 'see', 'full', 'summary', '»']"
Sparsh,1980,"Drama, Romance            ","Anirudh Parmar is blind, but he does not let this impairment bind him down. He runs a school for the blind as a Principal. He meets with social worker, Kavita. Kavita is attracted to him, ...                See full summary »",8.1,796,41,Sai Paranjape,"Shabana Azmi, Naseeruddin Shah, Sudha Chopra, Mohan Gokhale","['anirudh', 'parmar', 'blind,', 'let', 'impairment', 'bind', 'down.', 'runs', 'school', 'blind', 'principal.', 'meets', 'social', 'worker,', 'kavita.', 'kavita', 'attracted', 'him,', '...', 'see', 'full', 'summary', '»']"
Johny Mera Naam,1970,"Action, Drama, Musical            ",Monu (Mohan) and Sonu (Sohan) are the two sons of a police inspector. The kids excel in boxing. Their father gets killed by a goon following orders from Ranjit (Premnath). Mohan kills the ...                See full summary »,7.3,791,51,Vijay Anand,"Dev Anand, Hema Malini, Pran, Jeevan","['monu', '(mohan)', 'sonu', '(sohan)', 'two', 'sons', 'police', 'inspector.', 'kids', 'excel', 'boxing.', 'father', 'gets', 'killed', 'goon', 'following', 'orders', 'ranjit', '(premnath).', 'mohan', 'kills', '...', 'see', 'full', 'summary', '»']"
Road to Sangam,2009,"Drama, Thriller            ","Amidst bomb explosions, fake arrests, police brutality and protests, a determined mechanic attempts to repair an antique truck to transport the last remains of Mahatma Gandhi in modern day India.",7.4,789,12,Amit Rai,"Paresh Rawal, Om Puri, Pawan Malhotra, Javed Sheikh","['amidst', 'bomb', 'explosions,', 'fake', 'arrests,', 'police', 'brutality', 'protests,', 'determined', 'mechanic', 'attempts', 'repair', 'antique', 'truck', 'transport', 'last', 'remains', 'mahatma', 'gandhi', 'modern', 'day', 'india.']"
Dhoondte Reh Jaoge,2009,"Comedy, Drama            ",A failed film producer and an unemployed Chartered Accountant decide to make a 'sure flop' movie,5.6,788,12,Umesh Shukla,"Paresh Rawal, Kunal Khemu, Sonu Sood, Soha Ali Khan","['failed', 'film', 'producer', 'unemployed', 'chartered', 'accountant', 'decide', 'make', ""'sure"", ""flop'"", 'movie']"
Jhooth Bole Kauwa Kaate,1998,"Comedy, Romance            ","Abhyankar (Amrish Puri) is an orthodox head of his family, a retired police officer, he has values which he wants his family to also uphold. As a result of his values, his daughter is ...                See full summary »",5.7,786,23,Hrishikesh Mukherjee,"Anil Kapoor, Juhi Chawla, Amrish Puri, Anupam Kher","['abhyankar', '(amrish', 'puri)', 'orthodox', 'head', 'family,', 'retired', 'police', 'officer,', 'values', 'wants', 'family', 'also', 'uphold.', 'result', 'values,', 'daughter', '...', 'see', 'full', 'summary', '»']"
Mandi,1983,"Comedy, Drama            ","Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam's brothel from the heart of Hyderabad.",7.5,786,38,Shyam Benegal,"Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri","['forbidden', 'love,', 'fraying', 'loyalties', 'flagrant', 'hypocrisy', 'emerge', 'sanctimonious', 'politicians', 'drive', ""madam's"", 'brothel', 'heart', 'hyderabad.']"
Purani Jeans,2014,"Drama, Romance            ","Sidharth, his best friend Sam and their gang of friends rediscover bonds of friendship and love.",6.3,782,7,Tanushri Chattrji Bassu,"Tanuj Virwani, Izabelle Leite, Aditya Seal, Raghav Raj Kakker","['sidharth,', 'best', 'friend', 'sam', 'gang', 'friends', 'rediscover', 'bonds', 'friendship', 'love.']"
Toonpur Ka Superrhero,2010,"Animation, Action, Adventure            ",A reel-life costumed actor is abducted and asked to be a real hero by Toon characters.,4.2,782,11,Kireet Khurana,"Ajay Devgn, Kajol, Ameya Pandya, Chinky Jaiswal","['reel-life', 'costumed', 'actor', 'abducted', 'asked', 'real', 'hero', 'toon', 'characters.']"
Upstarts,2019,Drama            ,"Hoping to do good while making millions, three graduates create a startup. But as business begins to flourish, their own bond starts to fray.",6.7,782,2,Udai Singh Pawar,"Naved Aslam, Sandeep Bhardwaj, Ranjit Deval, Mrinal Dutt","['hoping', 'good', 'making', 'millions,', 'three', 'graduates', 'create', 'startup.', 'business', 'begins', 'flourish,', 'bond', 'starts', 'fray.']"
